Month;Consumption (kWh bn)
Jan '05;90.4
Feb '05;85.2
Mar '05;88.9
Apr '05;76.8
May '05;69.8
Jun '05;64.7
Jul '05;66.0
Aug '05;67.4
Sep '05;69.7
Oct '05;80.2
Nov '05;85.8
Dec '05;95.0
Jan '06;98.1
Feb '06;88.3
Mar '06;89.4
Apr '06;79.4
May '06;73.5
Jun '06;67.6
Jul '06;69.3
Aug '06;71.1
Sep '06;72.2
Oct '06;84.7
Nov '06;88.2
Dec '06;95.3
Jan '07;93.5
Feb '07;89.2
Mar '07;90.2
Apr '07;80.7
May '07;75.5
Jun '07;70.1
Jul '07;71.5
Aug '07;73.2
Sep '07;75.5
Oct '07;86.3
Nov '07;93.2
Dec '07;100.5
Jan '08;101.9
Feb '08;93.5
Mar '08;92.4
Apr '08;82.9
May '08;78.9
Jun '08;72.9
Jul '08;74.3
Aug '08;75.4
Sep '08;79.4
Oct '08;86.5
Nov '08;87.7
Dec '08;95.8
Jan '09;94.7
Feb '09;86.3
Mar '09;88.5
Apr '09;78.5
May '09;72.2
Jun '09;67.8
Jul '09;70.6
Aug '09;71.0
Sep '09;73.3
Oct '09;84.9
Nov '09;89.7
Dec '09;100.6
Jan '10;101.1
Feb '10;91.7
Mar '10;93.1
Apr '10;81.2
May '10;75.6
Jun '10;71.2
Jul '10;74.0
Aug '10;75.1
Sep '10;77.0
Oct '10;87.9
Nov '10;90.2
Dec '10;102.3
Jan '11;100.5
Feb '11;91.7
Mar '11;93.9
Apr '11;83.2
May '11;77.4
Jun '11;72.6
Jul '11;75.1
Aug '11;75.9
Sep '11;77.1
Oct '11;86.7
Nov '11;94.5
Dec '11;101.3
Jan '12;100.2
Feb '12;98.8
Mar '12;96.2
Apr '12;82.9
May '12;77.8
Jun '12;73.8
Jul '12;76.5
Aug '12;77.4
Sep '12;77.3
Oct '12;88.3
Nov '12;93.1
Dec '12;106.0
Jan '13;101.7
Feb '13;90.1
Mar '13;98.1
Apr '13;85.3
May '13;78.7
Jun '13;73.5
Jul '13;75.3
Aug '13;76.4
Sep '13;79.4
Oct '13;89.3
Nov '13;89.4
Dec '13;99.4
Jan '14;99.0
Feb '14;91.6
Mar '14;91.7
Apr '14;83.9
May '14;78.3
Jun '14;74.0
Jul '14;76.8
Aug '14;78.0
Sep '14;78.9
Oct '14;91.8
Nov '14;94.8
Dec '14;102.5
Jan '15;101.8
Feb '15;92.3
Mar '15;94.4
Apr '15;85.9
May '15;79.8
Jun '15;74.7
Jul '15;77.9
Aug '15;77.3
Sep '15;79.4
Oct '15;91.9
Nov '15;95.4
Dec '15;100.7
Jan '16;102.3
Feb '16;93.1
Mar '16;94.6
Apr '16;84.7
May '16;78.5
Jun '16;75.1
Jul '16;77.52
Aug '16;79.4
Sep '16;79.3
Oct '16;91.6
Nov '16;97.2
Dec '16;104.7
Jan '17;102.5
Feb '17;92.3
Mar '17;96.2
Apr '17;88.8
May '17;82.6
Jun '17;76.0
Jul '17;78.2
Aug '17;80.3
Sep '17;80.4
Oct '17;91.4
Nov '17;94.2
Dec '17;101.6
Jan '18;102.4
Feb '18;95.86
Mar '18;99.7
Apr '18;89.4
May '18;83.58
Jun '18;78.9
Jul '18;83.4
Aug '18;83.2
Sep '18;82.9
Oct '18;93.2
Nov '18;98.2
Dec '18;107.4
Jan '19;105.8
Feb '19;95.2
