Month,Consumption_MWh
2004-01-01,26978361.462999996
2004-02-01,26508269.295
2004-03-01,27284337.172000002
2004-04-01,28046181.323000003
2004-05-01,27248156.753
2004-06-01,27082960.944000002
2004-07-01,27346004.948
2004-08-01,27656857.938
2004-09-01,28282497.483
2004-10-01,28509867.266
2004-11-01,28363330.608
2004-12-01,28562105.663999997
2005-01-01,28375437.028
2005-02-01,27887617.663
2005-03-01,28557969.391
2005-04-01,29347026.811
2005-05-01,28482150.416
2005-06-01,28320549.733000003
2005-07-01,28322316.846
2005-08-01,28765002.673
2005-09-01,29335127.541
2005-10-01,29145312.091
2005-11-01,29287616.41
2005-12-01,29505145.615000002
2006-01-01,28880910.257999998
2006-02-01,29383486.213
2006-03-01,29953891.885
2006-04-01,29839706.683
2006-05-01,28967570.394
2006-06-01,29060245.3
2006-07-01,29072009.156999998
2006-08-01,29886235.701
2006-09-01,29945477.064999998
2006-10-01,30093621.072
2006-11-01,30552177.883
2006-12-01,30493978.636
2007-01-01,30699704.0
2007-02-01,30324669.0
2007-03-01,31312900.0
2007-04-01,32030744.0
2007-05-01,31382917.0
2007-06-01,30766760.0
2007-07-01,30501339.0
2007-08-01,31181133.0
2007-09-01,31735736.0
2007-10-01,32135735.0
2007-11-01,32654491.0
2007-12-01,32304926.0
2008-01-01,31855946.235
2008-02-01,31730940.653
2008-03-01,32118714.812
2008-04-01,31952656.284
2008-05-01,32299963.365000002
2008-06-01,31742987.811
2008-07-01,32150090.042999998
2008-08-01,33013174.636
2008-09-01,32963808.691
2008-10-01,33672661.377000004
2008-11-01,33412176.533
2008-12-01,31559278.45
2009-01-01,30666661.8
2009-02-01,30495142.71
2009-03-01,31977749.509999998
2009-04-01,32042792.8
2009-05-01,30945452.9
2009-06-01,30715085.95
2009-07-01,31325075.23
2009-08-01,32262205.6
2009-09-01,32716665.81
2009-10-01,33419533.14
2009-11-01,33616820.2
2009-12-01,34123194.7
2010-01-01,33360460.285
2010-02-01,33729757.747999996
2010-03-01,35116881.82
2010-04-01,35025860.491
2010-05-01,34296978.0
2010-06-01,34169459.0
2010-07-01,33849349.0
2010-08-01,34713394.229
2010-09-01,35182271.015
2010-10-01,35188924.989
2010-11-01,35077981.259
2010-12-01,35956439.401
2011-01-01,35873744.262
2011-02-01,35444916.658
2011-03-01,36350690.052
2011-04-01,36048318.049
2011-05-01,35565987.385
2011-06-01,35159573.72
2011-07-01,35417292.622
