Year,Month,Consumption_GWh
2000,January,290.50000000000006
2000,February,278.885472699215
2000,March,262.9922932898804
2000,April,257.4821730386915
2000,May,265.1354189333433
2000,June,270.06310775285533
2000,July,281.7478721773499
2000,August,297.39604775702816
2000,September,274.2083894589523
2000,October,262.7808094352978
2000,November,273.5385481097829
2000,December,292.03842001508576
2001,January,299.3647139480927
2001,February,287.70223751157414
2001,March,264.64922224878103
2001,April,253.8283257006509
2001,May,261.1281938150333
2001,June,272.1643340271056
2001,July,292.3049995654776
2001,August,297.48813571416105
2001,September,271.03088261169313
2001,October,276.926564491376
2001,November,282.072012150776
2001,December,305.1643505558221
2002,January,304.40571869541014
2002,February,291.22484487924737
2002,March,279.9241833231027
2002,April,266.6340964676398
2002,May,274.8668313091434
2002,June,284.18494071881463
2002,July,299.47632605277647
2002,August,307.1414101713823
2002,September,294.0131435468057
2002,October,283.4505585756631
2002,November,286.0350183752387
2002,December,315.8990379108371
2003,January,319.10702756176914
2003,February,307.6412798935865
2003,March,283.9206649946046
2003,April,274.5851020219818
2003,May,284.45082513850105
2003,June,301.57732842514855
2003,July,316.1383948434607
2003,August,323.8068410637197
2003,September,297.7582072504178
2003,October,285.8483626971376
2003,November,296.47723951473904
2003,December,322.7843753607248
2004,January,337.5549954531062
2004,February,321.0250135113625
2004,March,295.4833114611961
2004,April,291.88766493870986
2004,May,293.9871993217062
2004,June,305.0375644465872
2004,July,326.12131905922627
2004,August,339.3529031428523
2004,September,314.7293475605454
2004,October,300.7490141528554
2004,November,310.0017466195317
2004,December,338.22535433503884
2005,January,352.8849358347967
2005,February,331.14843840921213
2005,March,314.0726208081038
2005,April,299.83762145565754
2005,May,301.2530845990963
2005,June,322.8272728066499
2005,July,344.7469924269639
2005,August,350.1847804688012
2005,September,326.87658878042953
2005,October,318.5047224833695
2005,November,323.34909048794924
2005,December,352.59152413470713
2006,January,367.7290596380321
2006,February,345.7034704503733
2006,March,333.9854271881422
2006,April,306.90091632477004
2006,May,319.833399245327
2006,June,333.60885950349626
2006,July,349.0657780101037
2006,August,360.5129147201184
2006,September,324.15944752273606
2006,October,322.07953942532856
2006,November,336.63138242199085
2006,December,370.5926886754341
2007,January,371.8906780918773
2007,February,350.56063926242854
2007,March,332.9548912804538
2007,April,328.69620022402313
2007,May,331.84552397009037
2007,June,342.03992838531076
2007,July,363.0171406001165
2007,August,372.92714147856213
2007,September,348.2368219817187
2007,October,334.96558926329027
2007,November,345.09721671319465
2007,December,372.96999143026096
2008,January,377.606189798325
2008,February,365.4015927821647
2008,March,349.0566829188044
2008,April,337.60934733344135
2008,May,340.0487117737085
2008,June,349.0113005276707
2008,July,369.7916128195836
2008,August,381.9961698423156
2008,September,351.03157953624105
2008,October,345.99059478784034
2008,November,360.3182569322838
2008,December,397.4369212519969
2009,January,406.349422540076
2009,February,385.83110047546353
2009,March,364.7083376720451
2009,April,344.28516265028156
2009,May,353.44803697143834
2009,June,371.03419267024054
2009,July,401.72352349808557
2009,August,405.39396302537205
2009,September,374.1932226030678
2009,October,364.83757156014127
2009,November,370.68103643971546
2009,December,409.6933152494304
2010,January,431.5348541719575
2010,February,411.7873797121608
2010,March,384.0633785944462
2010,April,379.6050859240894
2010,May,373.85309011630403
2010,June,395.56671983662693
2010,July,424.9697129394393
2010,August,426.1347058486773
2010,September,391.63418009838654
2010,October,385.78710245449753
2010,November,396.0931430867669
2010,December,423.28583676097554
2011,January,439.4579781206592
2011,February,415.2420993951829
2011,March,399.9502568359386
2011,April,383.1151349524471
2011,May,396.8804706836692
2011,June,406.63648098592853
2011,July,427.26121331733833
2011,August,444.81287972060755
2011,September,403.7383602026853
2011,October,399.24323223121166
2011,November,418.0636789582523
2011,December,440.8792120942746
2012,January,462.75331103195043
2012,February,442.4787135519297
2012,March,423.3599271874419
2012,April,402.12972242287407
2012,May,403.3802992618441
2012,June,428.1687674754772
2012,July,451.73985619851936
2012,August,465.3028931178548
2012,September,430.507752186952
2012,October,417.27756486410595
2012,November,433.0637841095088
2012,December,469.55646967967976
2013,January,474.1704464248214
2013,February,461.55442715301
2013,March,436.1606457842457
2013,April,414.1576286774588
2013,May,424.0213069639212
2013,June,436.76400292309256
2013,July,465.4436987618865
2013,August,482.8182026202178
2013,September,438.9558272663129
2013,October,435.2066575414725
2013,November,448.23912444726136
2013,December,486.19330510252627
2014,January,501.89471891446607
2014,February,470.78784788881984
2014,March,442.4088504730846
2014,April,426.01553532423134
2014,May,430.20796105820455
2014,June,452.069217457753
2014,July,478.4489115839373
2014,August,493.24800408295584
2014,September,458.5022225030465
2014,October,446.45134620432793
2014,November,465.99472236147045
2014,December,497.7115308975229
2015,January,518.3382618344526
2015,February,488.86360229651075
2015,March,456.281907837829
2015,April,437.9117115085443
2015,May,448.26469978736674
2015,June,466.33836373457547
2015,July,494.13159075720296
2015,August,508.80154076407666
2015,September,467.9723080796905
2015,October,454.29522198640353
2015,November,464.7223427694038
2015,December,506.2642622986091
2016,January,480.3070798668701
2016,February,457.17998148391274
2016,March,429.30435315558884
