Date,Energie_GWh
2016-07-01,3305.2
2016-08-01,3422.1
2016-09-01,2949.6
2016-10-01,3033.5
2016-11-01,2806.5
2016-12-01,2806.3
2017-01-01,2923.0
2017-02-01,2599.8
2017-03-01,2924.3
2017-04-01,2980.8
2017-05-01,3189.6
2017-06-01,3181.8
2017-07-01,3520.3
2017-08-01,3555.1
2017-09-01,3106.8
2017-10-01,3176.1
2017-11-01,2977.5
2017-12-01,2944.9
2018-01-01,3006.9
2018-02-01,2726.0
2018-03-01,2975.1
2018-04-01,2922.9
2018-05-01,3099.0
2018-06-01,3058.3
2018-07-01,3490.0
2018-08-01,3461.7
2018-09-01,3321.3
2018-10-01,3273.8
2018-11-01,2900.8
2018-12-01,3057.0
2019-01-01,3119.0
2019-02-01,2823.0
2019-03-01,3121.5
2019-04-01,3044.3
2019-05-01,3399.8
2019-06-01,3233.5
2019-07-01,3636.1
2019-08-01,3513.0
2019-09-01,3406.8
2019-10-01,3320.0
2019-11-01,3004.1
2019-12-01,3089.1
2020-01-01,3171.0
2020-02-01,3019.8
2020-03-01,3078.5
2020-04-01,2670.0
2020-05-01,2936.7
2020-06-01,3193.2
2020-07-01,3736.5
2020-08-01,3549.1
2020-09-01,3461.3
2020-10-01,3276.3
2020-11-01,3107.4
2020-12-01,3171.8
2021-01-01,3209.1
2021-02-01,2870.9
2021-03-01,3193.7
2021-04-01,3206.5
2021-05-01,3313.5
2021-06-01,3518.8
2021-07-01,3839.6
2021-08-01,3754.8
2021-09-01,3580.5
2021-10-01,3424.9
2021-11-01,3261.7
2021-12-01,3337.7
2022-01-01,3322.9
2022-02-01,3069.9
2022-03-01,3332.8
2022-04-01,3337.6
2022-05-01,3579.9
2022-06-01,3750.3
2022-07-01,4003.0
2022-08-01,4080.0
2022-09-01,3677.0
2022-10-01,3580.0
2022-11-01,3365.0
2022-12-01,3219.0
2023-01-01,3344.0
2023-02-01,3178.0
2023-03-01,3542.0
2023-04-01,3438.0
2023-05-01,3686.0
2023-06-01,3736.0
2023-07-01,4210.0
2023-08-01,4333.0
2023-09-01,3722.0
2023-10-01,3771.0
2023-11-01,3457.0
2023-12-01,3574.0
2024-01-01,3544.7
2024-02-01,3334.3
2024-03-01,3601.1
2024-04-01,3429.9
2024-05-01,3843.5
2024-06-01,3728.5
2024-07-01,4452.4
2024-08-01,4495.8
2024-09-01,3967.9
2024-10-01,3893.6
2024-11-01,3646.1
2024-12-01,3760.4
2025-01-01,3792
2025-02-01,3459
2025-03-01,3667
2025-04-01,3702
2025-05-01,4107
2025-06-01,4220
2025-07-01,4774
2025-08-01,4748
2025-09-01,4364
2025-10-01,4319
2025-11-01,3883
2025-12-01,4000
