Date,Demand_TWh,Unit,Demand_GWh
2016-01-01,14.15,TWh,14150.0
2016-02-01,13.2,TWh,13200.0
2016-03-01,14.08,TWh,14080.0
2016-04-01,14.56,TWh,14560.0
2016-05-01,15.94,TWh,15940.0
2016-06-01,17.71,TWh,17710.0
2016-07-01,18.0,TWh,18000.0
2016-08-01,18.72,TWh,18720.0
2016-09-01,16.78,TWh,16780.0
2016-10-01,15.95,TWh,15950.0
2016-11-01,13.99,TWh,13990.0
2016-12-01,14.43,TWh,14430.0
2017-01-01,14.95,TWh,14950.0
2017-02-01,12.02,TWh,12020.0
2017-03-01,14.51,TWh,14510.0
2017-04-01,14.24,TWh,14240.0
2017-05-01,16.46,TWh,16460.0
2017-06-01,17.44,TWh,17440.0
2017-07-01,19.66,TWh,19660.0
2017-08-01,19.89,TWh,19890.0
2017-09-01,17.14,TWh,17140.0
2017-10-01,15.78,TWh,15780.0
2017-11-01,14.29,TWh,14290.0
2017-12-01,14.88,TWh,14880.0
2018-01-01,14.92,TWh,14920.0
2018-02-01,13.42,TWh,13420.0
2018-03-01,15.14,TWh,15140.0
2018-04-01,15.07,TWh,15070.0
2018-05-01,17.73,TWh,17730.0
2018-06-01,18.22,TWh,18220.0
2018-07-01,19.72,TWh,19720.0
2018-08-01,19.89,TWh,19890.0
2018-09-01,18.43,TWh,18430.0
2018-10-01,16.77,TWh,16770.0
2018-11-01,14.48,TWh,14480.0
2018-12-01,15.02,TWh,15020.0
2019-01-01,15.28,TWh,15280.0
2019-02-01,13.8,TWh,13800.0
2019-03-01,15.09,TWh,15090.0
2019-04-01,14.73,TWh,14730.0
2019-05-01,17.54,TWh,17540.0
2019-06-01,18.68,TWh,18680.0
2019-07-01,20.46,TWh,20460.0
2019-08-01,20.88,TWh,20880.0
2019-09-01,18.43,TWh,18430.0
2019-10-01,16.85,TWh,16850.0
2019-11-01,14.7,TWh,14700.0
2019-12-01,14.73,TWh,14730.0
2020-01-01,15.23,TWh,15230.0
2020-02-01,14.48,TWh,14480.0
2020-03-01,14.44,TWh,14440.0
2020-04-01,14.09,TWh,14090.0
2020-05-01,16.07,TWh,16070.0
2020-06-01,17.11,TWh,17110.0
2020-07-01,19.14,TWh,19140.0
2020-08-01,20.0,TWh,20000.0
2020-09-01,19.54,TWh,19540.0
2020-10-01,17.78,TWh,17780.0
2020-11-01,14.67,TWh,14670.0
2020-12-01,15.03,TWh,15030.0
2021-01-01,15.17,TWh,15170.0
2021-02-01,13.96,TWh,13960.0
2021-03-01,15.74,TWh,15740.0
2021-04-01,15.95,TWh,15950.0
2021-05-01,18.09,TWh,18090.0
2021-06-01,18.82,TWh,18820.0
2021-07-01,21.21,TWh,21210.0
2021-08-01,21.49,TWh,21490.0
2021-09-01,19.39,TWh,19390.0
2021-10-01,17.28,TWh,17280.0
2021-11-01,15.84,TWh,15840.0
2021-12-01,15.85,TWh,15850.0
2022-01-01,16.21,TWh,16210.0
2022-02-01,14.72,TWh,14720.0
2022-03-01,16.52,TWh,16520.0
2022-04-01,16.66,TWh,16660.0
2022-05-01,17.68,TWh,17680.0
2022-06-01,20.23,TWh,20230.0
2022-07-01,21.25,TWh,21250.0
2022-08-01,22.47,TWh,22470.0
2022-09-01,20.17,TWh,20170.0
2022-10-01,17.88,TWh,17880.0
2022-11-01,16.12,TWh,16120.000000000002
2022-12-01,16.26,TWh,16260.000000000002
2023-01-01,16.12,TWh,16120.000000000002
2023-02-01,15.02,TWh,15020.0
2023-03-01,16.7,TWh,16700.0
2023-04-01,16.0,TWh,16000.0
2023-05-01,18.08,TWh,18080.0
2023-06-01,19.99,TWh,19990.0
2023-07-01,22.9,TWh,22900.0
2023-08-01,22.89,TWh,22890.0
2023-09-01,21.31,TWh,21310.0
2023-10-01,19.11,TWh,19110.0
2023-11-01,16.9,TWh,16900.0
2023-12-01,16.49,TWh,16490.0
2024-01-01,16.69,TWh,16690.0
2024-02-01,16.0,TWh,16000.0
2024-03-01,17.4,TWh,17400.0
2024-04-01,17.3,TWh,17300.0
2024-05-01,19.8,TWh,19800.0
2024-06-01,22.21,TWh,22210.0
2024-07-01,25.31,TWh,25310.0
2024-08-01,25.3,TWh,25300.0
2024-09-01,22.61,TWh,22610.0
2024-10-01,19.51,TWh,19510.0
2024-11-01,16.9,TWh,16900.0
2024-12-01,17.5,TWh,17500.0
2025-01-01,17.81,TWh,17810.0
2025-02-01,16.51,TWh,16510.0
2025-03-01,18.3,TWh,18300.0
