Year,Month,Total_MWh
2012,January,1655662
2012,February,1550724
2012,March,1784483
2012,April,2382723
2012,May,3400942
2012,June,3426645
2012,July,3799673
2012,August,3830360
2012,September,3414574
2012,October,2991293
2012,November,2250628
2012,December,1864633
2013,January,1810973
2013,February,1640856
2013,March,2062050
2013,April,2419962
2013,May,2956499
2013,June,3212260
2013,July,3754705
2013,August,3649944
2013,September,3530970
2013,October,2853168
2013,November,2340419
2013,December,1992211
2014,January,1869283
2014,February,1718022
2014,March,2213046
2014,April,2695791
2014,May,3459126
2014,June,3705402
2014,July,4180717
2014,August,4193348
2014,September,3944603
2014,October,3502367
2014,November,2512956
2014,December,2079794
2015,January,2062780
2015,February,1925115
2015,March,2289510
2015,April,2775835
2015,May,3753297
2015,June,4049776
2015,July,4309589
2015,August,4578881
2015,September,4157402
2015,October,3864965
2015,November,2865257
2015,December,2219847
2016,January,2109681
2016,February,2037343
2016,March,2460998
2016,April,2780100
2016,May,3811342
2016,June,4037514
2016,July,4541156
2016,August,4767308
2016,September,4257850
2016,October,3529926
2016,November,2858107
2016,December,2475232
2017,January,2345482
2017,February,2038819
2017,March,2569836
2017,April,3191396
2017,May,4182303
2017,June,4367744
2017,July,4866143
2017,August,5003178
2017,September,4575247
2017,October,4081979
2017,November,3064882
2017,December,2518648
2018,January,2521820
2018,February,2402372
2018,March,2931437
2018,April,3265984
2018,May,4137114
2018,June,4680838
2018,July,5004435
2018,August,4935099
2018,September,4900912
2018,October,4142850
2018,November,3062401
2018,December,2670006
2019,January,2578526
2019,February,2374718
2019,March,2795807
2019,April,3191065
2019,May,4211072
2019,June,4907173
2019,July,5198097
2019,August,5306990
2019,September,5053152
2019,October,4761753
2019,November,3248028
2019,December,2808334
2020,January,2631063
2020,February,2471197
2020,March,2818733
2020,April,3188003
2020,May,3978122
2020,June,4734947
2020,July,5473015
2020,August,5396371
2020,September,4988752
2020,October,4153528
2020,November,3266018
2020,December,2726697
2021,January,2562162
2021,February,2402758
2021,March,3022612
2021,April,3516466
2021,May,4547638
2021,June,4941327
2021,July,5510914
2021,August,5644438
2021,September,5094386
2021,October,4570565
2021,November,3543193
2021,December,2972659
2022,January,2734228
2022,February,2462451
2022,March,3177268
2022,April,3743065
2022,May,4527841
2022,June,5167706
2022,July,5626619
2022,August,6108586
2022,September,5512478
2022,October,4904363
2022,November,4078424
2022,December,3282174
2023,January,3122158
2023,February,2877216
2023,March,3638494
2023,April,3824337
2023,May,5098689
2023,June,5678325
2023,July,6206161
2023,August,6664156
2023,September,6184765
2023,October,5412071
2023,November,4054341
2023,December,3489663
