Year,Month,Consumption_GWh
1991,January,12435.0
1991,February,11475.0
1991,March,12702.0
1991,April,12532.0
1991,May,13128.0
1991,June,13511.0
1991,July,14164.0
1991,August,13914.0
1991,September,12695.0
1991,October,13079.0
1991,November,12344.0
1991,December,11797.0
1992,January,12354.0
1992,February,11881.0
1992,March,12605.0
1992,April,12085.0
1992,May,12985.0
1992,June,13451.0
1992,July,14029.0
1992,August,13748.0
1992,September,12806.0
1992,October,13245.0
1992,November,12615.0
1992,December,12279.0
1993,January,12753.0
1993,February,11798.0
1993,March,13231.0
1993,April,12583.0
1993,May,13435.0
1993,June,14093.0
1993,July,14535.0
1993,August,14212.0
1993,September,13395.0
1993,October,13506.0
1993,November,13119.0
1993,December,12845.0
1994,January,13176.0
1994,February,12294.0
1994,March,13593.0
1994,April,12723.0
1994,May,13892.0
1994,June,14629.0
1994,July,15255.0
1994,August,14893.0
1994,September,13719.0
1994,October,14018.0
1994,November,13752.0
1994,December,13366.0
1995,January,13782.0
1995,February,12858.0
1995,March,14145.0
1995,April,13350.0
1995,May,14687.0
1995,June,14998.0
1995,July,15440.0
1995,August,14994.0
1995,September,13939.0
1995,October,14306.0
1995,November,14070.0
1995,December,13534.0
1996,January,14155.0
1996,February,13710.0
1996,March,14361.0
1996,April,14006.0
1996,May,15315.0
1996,June,15325.0
1996,July,16862.0
1996,August,16151.0
1996,September,14698.0
1996,October,15356.0
1996,November,14792.0
1996,December,14207.0
1997,January,15009.0
1997,February,14088.0
1997,March,15155.0
1997,April,15247.0
1997,May,16423.0
1997,June,16474.0
1997,July,17187.0
1997,August,16303.0
1997,September,15503.0
1997,October,16005.0
1997,November,15235.0
1997,December,14878.0
1998,January,15403.0
1998,February,14459.0
1998,March,15714.0
1998,April,14923.0
1998,May,16261.0
1998,June,16280.0
1998,July,16867.0
1998,August,16417.0
1998,September,15536.0
1998,October,15957.0
1998,November,15136.0
1998,December,14563.0
1999,January,15153.0
1999,February,14360.0
1999,March,15791.0
1999,April,15063.0
1999,May,16327.0
1999,June,16393.0
1999,July,17051.0
1999,August,16708.0
1999,September,15937.0
1999,October,16322.0
1999,November,15831.0
1999,December,15184.0
2000,January,15512.0
2000,February,15224.0
2000,March,16225.0
2000,April,15399.0
2000,May,17064.0
2000,June,16818.0
2000,July,17759.0
2000,August,17214.0
2000,September,16180.0
2000,October,16709.0
2000,November,16161.0
2000,December,15395.0
2001,January,16064.0
2001,February,14871.0
2001,March,16320.0
2001,April,15515.0
2001,May,16929.0
2001,June,16788.0
2001,July,18021.0
2001,August,17300.0
2001,September,16277.0
2001,October,16794.0
2001,November,15960.0
2001,December,15224.0
2002,January,16191.0
2002,February,15215.0
2002,March,16552.0
2002,April,16362.0
2002,May,17852.0
2002,June,18017.0
2002,July,18956.0
2002,August,18064.0
2002,September,17125.0
2002,October,17741.0
2002,November,17233.0
2002,December,16712.0
2003,January,17095.0
2003,February,16168.0
2003,March,17655.0
2003,April,16905.0
2003,May,18159.0
2003,June,18330.0
2003,July,19183.0
2003,August,18714.0
2003,September,17526.0
2003,October,18480.0
2003,November,17790.0
2003,December,17456.0
2004,January,17850.0
2004,February,17277.0
