unique_id,ds,y,months_to_wc
CMR,2021-08-01,0.20871579124387032,-5
CMR,2021-09-01,0.07315178401781672,-4
CMR,2021-10-01,0.06539588019095774,-3
CMR,2021-11-01,0.12967867122008486,-2
CMR,2021-12-01,0.7232225267090271,-1
CMR,2022-01-01,1.0,0
CMR,2022-02-01,0.9526433111768753,1
CMR,2022-03-01,0.9582914188412488,2
CMR,2022-04-01,0.3493014325994267,3
CMR,2022-05-01,0.2383551804995189,4
CMR,2022-06-01,0.5905576363402629,5
CMR,2022-07-01,0.3197568615920469,6
EGY,2019-02-01,0.75456864310578,-5
EGY,2019-03-01,0.11221847173623822,-4
EGY,2019-04-01,-0.12792651846676528,-3
EGY,2019-05-01,0.13999149532196775,-2
EGY,2019-06-01,0.6662072088565197,-1
EGY,2019-07-01,0.7627462152678668,0
EGY,2019-08-01,1.0,1
EGY,2019-09-01,0.336919115372513,2
EGY,2019-10-01,0.33825862647977134,3
EGY,2019-11-01,0.2707657491376054,4
EGY,2019-12-01,-0.257211658195889,5
EGY,2020-01-01,0.0418373922872517,6
QAT,2022-06-01,0.3024658712324324,-5
QAT,2022-07-01,0.01431610450694778,-4
QAT,2022-08-01,0.8420396953510839,-3
QAT,2022-09-01,0.42389078992066964,-2
QAT,2022-10-01,0.4717666355880121,-1
QAT,2022-11-01,1.0,0
QAT,2022-12-01,0.4997289400534454,1
QAT,2023-01-01,0.4539335784245429,2
QAT,2023-02-01,0.39379566547991074,3
QAT,2023-03-01,0.7814013849224526,4
QAT,2023-04-01,0.0709005772401331,5
QAT,2023-05-01,0.5698740097985956,6
RUS,2018-01-01,0.04067108072640915,-5
RUS,2018-02-01,0.2904891501117639,-4
RUS,2018-03-01,0.5764595897786583,-3
RUS,2018-04-01,0.538633559497569,-2
RUS,2018-05-01,0.18819675776720407,-1
RUS,2018-06-01,0.629417689992109,0
RUS,2018-07-01,1.0,1
RUS,2018-08-01,0.7182732435738227,2
RUS,2018-09-01,0.37939753544578414,3
RUS,2018-10-01,0.10622500374056826,4
RUS,2018-11-01,0.27887099909279445,5
RUS,2018-12-01,0.34768549556851297,6
ZAF,2010-01-01,0.22589980556126274,-5
ZAF,2010-02-01,0.2707498045831609,-4
ZAF,2010-03-01,0.8236507360409708,-3
ZAF,2010-04-01,0.9225046961059642,-2
ZAF,2010-05-01,0.8205170263269339,-1
ZAF,2010-06-01,1.0,0
ZAF,2010-07-01,0.8062676869301646,1
ZAF,2010-08-01,0.6847412204516995,2
ZAF,2010-09-01,-0.10104919975279619,3
ZAF,2010-10-01,0.012121261549848942,4
ZAF,2010-11-01,-0.018136694511757902,5
ZAF,2010-12-01,0.27846433315776103,6
