ds,baseline_GWh,predicted_GWh,lower_85_GWh,upper_85_GWh,months_to_wc,wc_lift_GWh,wc_lift_pct,in_event_window
2026-01-01,4019.61167969198,4019.61167969198,3833.3758645347584,4214.892977105669,-53,0.0,0.0,False
2026-02-01,3687.355155038878,3687.355155038878,3498.309995151738,3886.6132061892304,-52,0.0,0.0,False
2026-03-01,3969.8285035067934,3969.8285035067934,3760.016535379339,4191.3450364920245,-51,0.0,0.0,False
2026-04-01,3918.8795326705563,3918.8795326705563,3708.5247932658617,4141.162785525368,-50,0.0,0.0,False
2026-05-01,4285.40372276994,4285.40372276994,4052.802765734719,4531.350964353343,-49,0.0,0.0,False
2026-06-01,4373.327586242194,4373.327586242194,4133.665378634567,4626.881600923778,-48,0.0,0.0,False
2026-07-01,4937.860471807205,4937.860471807205,4664.856163691235,5226.838558289911,-47,0.0,0.0,False
2026-08-01,4934.1099528734,4934.1099528734,4658.967722234263,5225.497628029217,-46,0.0,0.0,False
2026-09-01,4497.503907487501,4497.503907487501,4244.601522148975,4765.471205577787,-45,0.0,0.0,False
2026-10-01,4439.795304239756,4439.795304239756,4188.087082216807,4706.627830864276,-44,0.0,0.0,False
2026-11-01,4065.8867425744793,4065.8867425744793,3833.5130538570284,4312.3424100072825,-43,0.0,0.0,False
2026-12-01,4155.583978708953,4155.583978708953,3916.2024491078173,4409.594192290215,-42,0.0,0.0,False
2027-01-01,4193.1794346872975,4193.1794346872975,3925.5641617981178,4479.034046431633,-41,0.0,0.0,False
2027-02-01,3863.781041543005,3863.781041543005,3608.7038069673895,4136.8831333030685,-40,0.0,0.0,False
2027-03-01,4177.877159271357,4177.877159271357,3896.8952372609942,4479.113817669176,-39,0.0,0.0,False
2027-04-01,4097.504069228936,4097.504069228936,3818.058376136708,4397.397183569223,-38,0.0,0.0,False
2027-05-01,4471.882533358392,4471.882533358392,4163.163341369526,4803.489285629873,-37,0.0,0.0,False
2027-06-01,4546.072167958179,4546.072167958179,4228.6149315407965,4887.356419029363,-36,0.0,0.0,False
2027-07-01,5143.804370217178,5143.804370217178,4780.639245946859,5534.551857083771,-35,0.0,0.0,False
2027-08-01,5146.999482658733,5146.999482658733,4779.734194300979,5542.4788039558825,-34,0.0,0.0,False
2027-09-01,4677.651699463827,4677.651699463827,4340.39820453796,5041.104108767284,-33,0.0,0.0,False
2027-10-01,4612.348532544589,4612.348532544589,4276.4206457471055,4974.658567480911,-32,0.0,0.0,False
2027-11-01,4247.00792706289,4247.00792706289,3934.6046867513824,4584.209334956034,-31,0.0,0.0,False
2027-12-01,4333.452783229969,4333.452783229969,4011.5860778230826,4681.137794846423,-30,0.0,0.0,False
2028-01-01,4377.759538977261,4377.759538977261,4036.4839607502536,4747.882047972644,-29,0.0,0.0,False
2028-02-01,4035.6621463075517,4035.6621463075517,3713.9305069290103,4385.257361487615,-28,0.0,0.0,False
2028-03-01,4364.469842711542,4364.469842711542,4011.2034782381816,4748.840592828629,-27,0.0,0.0,False
2028-04-01,4280.786194702987,4280.786194702987,3929.8629524902085,4663.037703358409,-26,0.0,0.0,False
2028-05-01,4672.022572260878,4672.022572260878,4284.539236639435,5094.540783797273,-25,0.0,0.0,False
2028-06-01,4749.576873474234,4749.576873474234,4351.238632469668,5184.372985392136,-24,0.0,0.0,False
2028-07-01,5374.080108814671,5374.080108814671,4918.456284123929,5871.902310243867,-23,0.0,0.0,False
2028-08-01,5377.42567014998,5377.42567014998,4916.737490375691,5881.2706063390015,-22,0.0,0.0,False
2028-09-01,4887.072304866386,4887.072304866386,4464.096851268745,5350.115922785098,-21,0.0,0.0,False
2028-10-01,4818.847082849667,4818.847082849667,4397.5972355246795,5280.439663180113,-20,0.0,0.0,False
2028-11-01,4437.153772463996,4437.153772463996,4045.4601804062336,4866.762940906771,-19,0.0,0.0,False
2028-12-01,4527.468135686364,4527.468135686364,4123.965881087291,4970.4407942015105,-18,0.0,0.0,False
2029-01-01,4573.758166892683,4573.758166892683,4149.783803586519,5041.038630744375,-17,0.0,0.0,False
2029-02-01,4216.348094992036,4216.348094992036,3817.7338811783015,4656.571202328696,-16,0.0,0.0,False
2029-03-01,4559.873634657286,4559.873634657286,4122.720738894747,5043.368818458659,-15,0.0,0.0,False
2029-04-01,4472.444206585027,4472.444206585027,4038.519481248238,4952.981076790202,-14,0.0,0.0,False
2029-05-01,4881.192806354261,4881.192806354261,4402.343236715663,5412.115743435843,-13,0.0,0.0,False
2029-06-01,4962.218533868192,4962.218533868192,4470.209413950668,5508.368033193292,-12,0.0,0.0,False
2029-07-01,5614.675301874819,5614.675301874819,5052.168909125577,6239.798529242897,-11,0.0,0.0,False
2029-08-01,5618.170614723043,5618.170614723043,5049.669149896496,6250.662395667716,-10,0.0,0.0,False
2029-09-01,5105.86843005507,5105.86843005507,4584.131749452285,5686.972906123915,-9,0.0,0.0,False
2029-10-01,5034.589363242581,5034.589363242581,4515.198011067803,5613.714007902062,-8,0.0,0.0,False
2029-11-01,4635.810991077746,4635.810991077746,4153.056208627645,5174.668090943393,-7,0.0,0.0,False
2029-12-01,4730.167936221434,4730.167936221434,4233.052566205811,5285.649065103205,-6,0.0,0.0,False
2030-01-01,4778.529966128737,4941.967445900589,4405.448258729359,5543.81199746992,-5,163.43747977185194,3.4202459946957005,True
2030-02-01,4405.12178005084,4554.001974961401,4050.9535152342323,5119.503706149471,-4,148.88019491056093,3.3797066765505557,True
2030-03-01,4764.023945162702,4928.191774961338,4376.823190675817,5549.002934356907,-3,164.16782979863547,3.445990861681716,True
2030-04-01,4672.681068414197,4843.1327053279065,4295.232467659244,5460.906878519647,-2,170.45163691370908,3.6478337472229088,True
2030-05-01,5099.725757978042,5303.305241892398,4697.101052557824,5987.729017194947,-1,203.5794839143564,3.9919692465006658,True
2030-06-01,5184.378296659291,5415.317366840173,4790.085877801228,6122.14088425354,0,230.93907018088248,4.454518111259262,True
2030-07-01,5866.039831657856,6158.11652697836,5440.139077161121,6970.833628022271,1,292.07669532050386,4.979112036441071,True
2030-08-01,5869.691599005928,6191.763314444737,5463.038114142053,7017.676785850756,2,322.0717154388094,5.487029599533891,True
2030-09-01,5334.458138786284,5648.927780047009,4977.928081285861,6410.3567014012415,3,314.46964126072544,5.895062498930299,True
2030-10-01,5259.988533320936,5582.751370939988,4913.59953233246,6343.012196183367,4,322.76283761905233,6.136188996885007,True
2030-11-01,4843.360351005306,5142.457131552654,4520.5923284785285,5849.8484052169615,5,299.0967805473474,6.175398047458223,True
2030-12-01,4941.94082900529,5239.123917706717,4600.050160088761,5966.963338263688,6,297.18308870142755,6.013489416085226,True
