months_to_wc,beta_log,consensus_pulse_pct
-5,-2.3920301828184165e-07,-2.3920298967280194e-07
-4,-1.102806663766387e-06,-1.1028060556753416e-06
-3,2.0347029021650087e-06,2.034704972174363e-06
-2,-1.801985035854159e-06,-1.8019834122800992e-06
-1,-2.020484998865868e-06,-2.0204829576874272e-06
0,-2.2114859348221216e-06,-2.2114834894889045e-06
1,1.1303758356007165e-06,1.130376474475722e-06
2,5.889500016564853e-07,5.889501750875717e-07
3,-1.470027655159356e-07,-1.470027547110296e-07
4,-1.727131575535168e-07,-1.7271314263860027e-07
5,1.3965855032438412e-06,1.3965864784698292e-06
6,0.0,0.0
