months_to_wc,beta_log,consensus_pulse_pct
-5,-1.6373038533856743e-06,-1.6373025130044519e-06
-4,-4.8315570211343584e-08,-4.8315569044146436e-08
-3,1.9924419802919147e-07,1.9924421787831803e-07
-2,-3.191904625055031e-07,-3.191904115642328e-07
-1,1.7358474906359334e-06,1.7358489972200606e-06
0,-1.670792926233844e-06,-1.67079153046012e-06
1,-2.2737060589861358e-06,-2.2737034741184737e-06
2,6.619659416173818e-07,6.61966160716884e-07
3,-9.425309599464526e-07,-9.42530515764287e-07
4,1.3636679341288982e-07,1.3636680271084142e-07
5,-1.091271883524314e-06,-1.0912712880873688e-06
6,0.0,0.0
