months_to_wc,beta_log,consensus_pulse_pct
-5,2.9558227652159985e-06,2.9558271336644124e-06
-4,2.593528279248858e-06,2.593531642446233e-06
-3,-7.864198892093555e-07,-7.864195799813154e-07
-2,-3.705918061314151e-08,-3.7059179926450083e-08
-1,1.0953150422210456e-06,1.0953156420787856e-06
0,-1.4856300367682707e-06,-1.485628933220514e-06
1,4.831420596929092e-07,4.831421764060531e-07
2,-8.1797816164908e-07,-8.179778271050348e-07
3,9.798085329748574e-07,9.798090129873946e-07
4,-2.495693820492306e-07,-2.49569350906795e-07
5,-8.776788718023454e-08,-8.776788332863365e-08
6,0.0,0.0
