months_to_wc,beta_log,consensus_pulse_pct
-5,-1.1988178130195593e-06,-1.198817094437772e-06
-4,3.485676529635384e-07,3.4856771371324983e-07
-3,1.4178082210491993e-06,1.4178092261397503e-06
-2,1.5571255289614783e-06,1.557126741282064e-06
-1,2.3909581159387017e-07,2.39095840177276e-07
0,6.135585408628685e-07,6.135587290899486e-07
1,1.094007444635281e-07,1.0940075044778976e-07
2,-2.340724222449353e-06,-2.3407214829565476e-06
3,-1.2152275985499728e-06,-1.2152268601612135e-06
4,6.793242732783256e-07,6.793245040191121e-07
5,2.1160747110116063e-06,2.1160769498992768e-06
6,0.0,0.0
