months_to_wc,beta_log,consensus_pulse_pct
-5,5.192005687604251e-07,5.192007035450637e-07
-4,-5.184512588130019e-07,-5.184511244171713e-07
-3,-9.572369208399323e-08,-9.572368750248077e-08
-2,1.6511357898707502e-06,1.6511371529961987e-06
-1,-1.5860297253311728e-07,-1.586029599556665e-07
0,-7.729295816716331e-07,-7.729292829616409e-07
1,-5.261871365291881e-07,-5.261869980927612e-07
2,6.099672305026616e-07,6.099674165327106e-07
3,-3.834176709460735e-07,-3.834175974415277e-07
4,-3.4712491014943225e-07,-3.471248499015876e-07
5,-9.156003102361865e-07,-9.155998910743503e-07
6,0.0,0.0
