config,model,weighting,lambda_amp,donor,RMSE,MAPE,shape_MSE,SARIMA_RMSE,baseline_RMSE,improvement_vs_sarima_pct,improvement_vs_baseline_pct,a_transfer,fold_RMSE_std,mean_abs_log_amplitude,max_abs_log_amplitude
Model_A_weighted_lam0.001,Model_A,weighted,0.001,QAT,207.7332482716868,4.184292145840424,0.20077210783752478,286.19870650076246,152.45509673527707,27.416426575941433,-36.2586444928074,0.07993387373594137,1250.4370984090797,2.5264337062835693,2.527092695236206
Model_A_weighted_lam0.01,Model_A,weighted,0.01,QAT,470.39326614450687,8.18812565301943,0.33609152991300134,286.19870650076246,152.45509673527707,-64.35897698344549,-208.5454512296807,0.18522512110380027,6355.555889423866,1.6791311204433441,1.6984894275665283
Model_A_weighted_lam0.1,Model_A,weighted,0.1,QAT,1011.7216083106017,16.994202722175554,0.17531291147461406,286.19870650076246,152.45509673527707,-253.5032078518169,-563.6194066160704,0.4802467960577744,5014.7082731526925,0.7311736941337585,0.7373861074447632
Model_A_weighted_lam1.0,Model_A,weighted,1.0,QAT,1457.3991429484756,30.504054002160913,0.9917522564681892,286.19870650076246,152.45509673527707,-409.22632068031135,-855.9530472628952,0.7632055832789495,17181.51961639253,0.26841795444488525,0.27375492453575134
Model_A_weighted_lam10.0,Model_A,weighted,10.0,QAT,819.0776391247247,14.232271975978424,0.5561066042465285,286.19870650076246,152.45509673527707,-186.1919430521754,-437.258285662283,0.27340704890397877,13793.471483197824,1.2967481315135956,1.2968746423721313
Model_A_uniform_lam0.001,Model_A,uniform,0.001,QAT,478.7610116531487,8.30522216306054,0.33663910444762174,286.19870650076246,152.45509673527707,-67.28273076659531,-214.03411358852043,0.19363712891936302,951.543166477551,1.6417724192142487,1.6444567441940308
Model_A_uniform_lam0.01,Model_A,uniform,0.01,QAT,395.0319451359489,6.822241800930088,0.2642934831413521,286.19870650076246,152.45509673527707,-38.0271595095055,-159.11363647086336,0.1790364868938923,5158.992069508266,1.7201656699180603,1.7201664447784424
Model_A_uniform_lam0.1,Model_A,uniform,0.1,QAT,914.085070232817,19.314573497353418,1.0466237014474478,286.19870650076246,152.45509673527707,-219.38826048830583,-499.5765899647381,0.4019455760717392,9529.903022067327,0.9114391058683395,0.9126715660095215
Model_A_uniform_lam1.0,Model_A,uniform,1.0,QAT,1095.9821509486512,24.898462691118382,1.973574310970326,286.19870650076246,152.45509673527707,-282.9444808988791,-618.8884953132882,0.26426972448825836,6693.8448199312315,1.3307850062847137,1.3307851552963257
Model_A_uniform_lam10.0,Model_A,uniform,10.0,QAT,1142.8514817980379,21.34401308662078,0.9697853203202623,286.19870650076246,152.45509673527707,-299.32098078682026,-649.6315349709065,0.4054814651608467,28469.188203887632,0.9026800990104675,0.902684211730957
Model_B_weighted_lam0.001,Model_B,weighted,0.001,QAT,184.13384763576497,3.0535118951776035,0.12167416845972678,286.19870650076246,152.45509673527707,35.662236252883126,-20.779069758156304,0.09778673488360184,1512.813063989642,2.323886811733246,2.3280422687530518
Model_B_weighted_lam0.01,Model_B,weighted,0.01,QAT,503.540999391348,10.597411617736501,0.9764380143755463,286.19870650076246,152.45509673527707,-75.94104653649319,-230.28807181546463,0.14774469228891227,4159.25438358484,1.9109682738780975,1.9153625965118408
Model_B_weighted_lam0.1,Model_B,weighted,0.1,QAT,1570.0337336600514,35.09016135401897,0.1134521015079289,286.19870650076246,152.45509673527707,-448.5817014535908,-929.8335492097434,0.5160195735784677,11970.796497579391,0.6616106033325195,0.6616107821464539
Model_B_weighted_lam1.0,Model_B,weighted,1.0,QAT,1145.4819018928383,16.370816519228615,0.25880675289829624,286.19870650076246,152.45509673527707,-300.240069530079,-651.3569086390416,0.3624622592559228,10984.29105605943,1.0148344039916992,1.0148358345031738
